order_id,order_date,order_time,city,zone,rider_id,vehicle_type,order_type,distance_km,promised_delivery_mins,actual_delivery_mins,delay_mins,delivery_status,weather_condition,order_value_inr,delivery_attempts,rider_experience_yrs,rider_rating,gps_latitude,gps_longitude
ORD000001,2024-09-02,13:10,Chennai,East,RID0022,Cycle,Electronics,11.05,60,57.4,-2.6,On-Time,Partly Cloudy,377.96,1,7.9,4.6,28.9867,87.3825
ORD000002,2024-09-13,14:53,Delhi,East,RID0100,cycle,Electronics,14.75,30,29.7,-0.3,On-Time,Clear,1352.8,1,0.4,4.5,36.7618,84.6386
ORD000003,2024-02-28,18:01,Lucknow,,RID0010,Bike,Documents,11.21,60,87.0,27.0,Delayed,Clear,1302.15,2,7.8,3.4,,
ORD000004,2024-07-13,14:59,Chennai,North,RID0050,AUTO,Documents,10.27,30,57.2,27.2,Delayed,Rain,3308.73,1,6.8,4.4,17.7429,71.3316
ORD000005,2024-07-24,14:28,Jaipur,South,RID0078,Bike,Apparel,13.07,60,55.5,-4.5,On-Time,Partly Cloudy,3095.74,2,1.1,3.1,22.9501,96.495
ORD000006,2024-06-10,19:10,Mumbai,Central,RID0114,cycle,Food,6.55,45,86.5,41.5,Delayed,Partly Cloudy,538.42,3,2.6,3.6,34.1227,96.8385
ORD000007,2024-02-04,13:25, Ahmedabad,North,RID0103,BIKE,Documents,11.94,30,28.2,-1.8,On-Time,Clear,370.27,1,5.9,3.1,23.1091,93.7617
ORD000008,2024-05-13,20:13, Ahmedabad,North,RID0030,auto,Electronics,16.89,45,48.2,3.2,On-Time,Clear,596.55,1,6.2,4.6,19.2567,70.6562
ORD000009,2024-07-11,10:10,Lucknow,South,RID0087,Van,Medicine,9.42,30,82.2,52.2,Delayed,Rain,479.38,1,6.5,4.5,31.0536,77.8506
ORD000010,2024-05-30,19:10,Chennai,South,,AUTO,Grocery,11.77,90,114.4,24.4,Delayed,Rain,2323.5,1,3.9,4.2,17.6302,75.5919
ORD000011,2024-06-28,15:41, Ahmedabad,Central,RID0040,Van,Food,8.88,45,36.4,-8.6,On-Time,Clear,1717.72,2,2.7,3.5,26.3852,87.6456
ORD000012,2024-06-18,17:16,delhi,East,RID0065,Cycle,Food,15.58,30,10.4,-19.6,On-Time,Clear,4464.37,1,7.6,4.1,30.2101,84.6346
ORD000013,2024-01-12,10:46,Ahmedabad,South,RID0049,AUTO,Grocery,4.78,90,107.6,17.6,Delayed,Clear,1480.47,1,6.8,4.4,10.7291,74.7275
ORD000014,2024-07-02,19:18,Mumbai,Central,RID0021,auto,Grocery,6.47,60,122.7,62.7,Delayed,Fog,2002.97,1,3.6,5.0,21.573,76.0891
ORD000015,2024-01-24,13:30,Bangaluru,South,RID0107,auto,Medicine,11.44,60,58.4,-1.6,On-Time,Clear,1376.64,1,2.9,3.6,36.1944,88.046
ORD000016,2024-04-23,18:44,Ahmedabad,East,RID0037,Cycle,Grocery,6.29,60,104.7,44.7,Delayed,Partly Cloudy,289.28,1,7.7,4.9,22.7833,88.5377
ORD000017,2024-08-19,09:39,Lucknow,East,RID0121,bike,Medicine,4.68,90,143.1,53.1,Delayed,Rain,3371.9,1,7.5,3.5,24.5666,79.7742
